titulo,parrafo
Major urinary proteins,"[' (', '), also known as ', ', are a ', ' of proteins found in abundance in the ', ' and other ', ' of many animals. Mups provide a small range of identifying information about the donor animal, when detected by the ', ' of the receiving animal. They belong to a larger ', ' of proteins known as ', '. Mups are encoded by a ', ', located adjacent to each other on a single stretch of DNA, that varies greatly in number between species: from at least 21 functional genes in mice to none in humans. Mup proteins form a characteristic ', ' shape, encompassing a ', '-binding pocket that accommodates specific small organic chemicals.\n', 'Urinary proteins were first reported in rodents in 1932, during studies by ', ' into the cause of ', '. They are potent human ', ' and are largely responsible for a number of ', ', including to cats, horses and rodents. Their ', ' function within an animal is unknown but may involve regulating energy expenditure. However, as secreted proteins they play multiple roles in chemical communication between animals, functioning as ', ' transporters and stabilizers in rodents and pigs. Mups can also act as protein pheromones themselves. They have been demonstrated to promote ', ' in male mice, and one specific Mup protein found in male mouse urine is sexually attractive to female mice. Mups can also function as ', ': mice display an instinctive fear response on the detection of Mups derived from predators such as cats and rats.\n']"
Proteasome,"['\n\n', ' are ', ' which degrade unneeded or damaged ', ' by ', ', a ', ' that breaks ', '. ', ' that help such reactions are called ']"
Phagocyte,"['\n', ' are ', ' that protect the body by ingesting harmful foreign particles, ', ', and dead or ', ' cells. Their name comes from the ', ' ', ', ""to eat"" or ""devour"", and ""-cyte"", the suffix in biology denoting ""cell"", from the Greek ', ', ""hollow vessel"".', ' They are essential for fighting infections and for subsequent ', '.', ' Phagocytes are important throughout the animal kingdom', ' and are highly developed within vertebrates.', ' One ', ' of human blood contains about six billion phagocytes.', ' They were discovered in 1882 by ', ' while he was studying ', ' ', '.', ' Mechnikov was awarded the 1908 ', ' for his discovery.', ' Phagocytes occur in many species; some ']"
 (book),"[' is a 2010 ', ' and ', ' for the ', ' of ', ', giving descriptions and biogeographic data for the known species.  The primary contributor is ', ', president of ', ', and the cover art and illustrations were drawn by ', '.  Currently in its third edition, the book provides details about all known lemur species, general information about lemurs and their history, and also helps travelers identify species they may encounter.  Four related pocket field guides have also been released, containing color illustrations of each species, miniature range maps, and species checklists.\n', 'The first edition was reviewed favorably in the ', ', ', ', and ', '.  Reviewers, including ', ', praised the book for its meticulous coverage of each species, numerous high-quality illustrations, and engaging discussion of lemur topics, including conservation, evolution, and the recently extinct ', '.  Each agreed that the book was an excellent resource for a wide audience, including ', ' and lemur researchers.  A lengthy review of the second edition was published in the ', ', where it received similar favorable comments, plus praise for its updates and enhancements. The third edition was reviewed favorably in ', '; the reviewer praised the expanded content of the book, but was concerned that the edition was not as portable as its predecessors.\n', 'The first edition identified 50\xa0lemur species and subspecies, compared to 71 in the second edition and 101 in the third.  The ', ' promoted by these books has been questioned by researchers, such as ', ', who view these growing numbers of ', ' as insufficiently justified inflation of species numbers (']"
Introduction to viruses,"['\n\n\n', 'A ', ' is a tiny ', ' that ', ' inside the ', ' of living ', '. When infected, the host cell is forced to rapidly produce thousands of identical copies of the original virus. Unlike most ', ', viruses do not have cells that divide; new viruses assemble in the infected host cell. But unlike simpler infectious agents like ', ', they contain ', ', which allow them to ', ' and evolve. Over 4,800 ', ' have been ', ' out of the millions in the environment. Their origin is unclear: some may have ', ' from ', '—pieces of DNA that can move between cells—while others may have evolved from ']"
Metabolism,"['\n', ' (', ', from ', ': ', ' ', ', ""change"") is the set of ', '-sustaining ', ' in ', '. The three main purposes of metabolism are: the conversion of the energy in food to ', ' available to run cellular processes; the conversion of food to building blocks for ', ', ', ', ', ', and some ', '; and the elimination of ', '. These ', '-catalyzed reactions allow organisms to grow and reproduce, maintain their structures, and respond to their environments. The word metabolism can also refer to the sum of all chemical reactions that occur in living organisms, including ', ' and the transportation of substances into and between different cells, in which case the above described set of reactions within the cells is called intermediary (or intermediate) metabolism. \n', 'Metabolic reactions may be categorized as ', ' – the ', ' of compounds (for example, of glucose to pyruvate by ', '); or ']"
History of evolutionary thought,"[' thought, the recognition that ', ' change over time and the perceived understanding of how such processes work, has roots in antiquity—in the ideas of the ', ', ', ', ', ', ', ' as well as in ', '. With the beginnings of modern ', ' in the late 17th century, two opposed ideas influenced ', ' biological thinking:  ', ', the belief that every species has essential characteristics that are unalterable, a concept which had developed from ', ' ', ', and that fit well with ', '; and the development of the new anti-Aristotelian approach to ', ': as the ', ' progressed, evolutionary ', ' and the ', ' spread from the ', ' to ', '. ', ' began to focus on the variability of species; the emergence of ', ' with the concept of ']"
Immune system,"['\n\n', 'The ', ' is a network of ', ' that protects an ', ' from ', '. It detects and responds to a wide variety of ', ', from ', ' to ', ', as well as ', ' and objects such as wood ', "", distinguishing them from the organism's own healthy "", '. Many species have two major subsystems of the immune system. The ', ' provides a preconfigured response to broad groups of situations and stimuli. The ', ' provides a tailored response to each stimulus by learning to recognize molecules it has previously encountered. Both use ', ' and ', ' to perform their functions.\n', 'Nearly all organisms have some kind of immune system. ', ' have a rudimentary immune system in the form of ', ' that protect against ', ' infections. Other basic immune mechanisms evolved in ancient ', ' and remain in their modern descendants. These mechanisms include ']"
History of biology,"['\n', 'The ', ' traces the study of the ', ' from ', ' to ', ' times. Although the concept of ', ' as a single coherent field arose in the 19th century, the biological sciences emerged from ', ' and ', ' reaching back to ', ', ', ' and the works of ', ' and ', ' in the ancient ', '. This ancient work was further developed in the Middle Ages by ', ' and scholars such as ', '. During the European ', ' and early modern period, biological thought was revolutionized in Europe by a renewed interest in ', ' and the discovery of many novel organisms. Prominent in this movement were ', ' and ', ', who used experimentation and careful observation in physiology, and naturalists such as ', ' and ']"
Flight feather,"['\n', ' (', ')', ' are the long, stiff, asymmetrically shaped, but symmetrically paired ', ' on the ', ' or tail of a bird; those on the wings are called ', ' (', '), singular ', ' (', '), while those on the tail are called ', ' (', '), singular ', ' (', '). The primary function of the flight feathers is to aid in the generation of both ', ' and ', ', thereby enabling ', '. The flight feathers of some birds have evolved to perform additional functions, generally associated with territorial displays, courtship rituals or feeding methods. In some species, these feathers have developed into long showy plumes used in visual courtship displays, while in others they create a sound during display flights. Tiny serrations on the leading edge of their remiges help ', ' to fly silently (and therefore hunt more successfully), while the extra-stiff rectrices of ', ' help them to brace against tree trunks as they hammer on them. Even flightless birds still retain flight feathers, though sometimes in radically modified forms.\n', 'The remiges are divided into ', ' and ']"
Flora of Madagascar,"['\n', 'The ', ' consists of more than 12,000 ', ' of plants, as well as a poorly known number of ', ' and ', '. Around 83% of ', ""'s "", ' are found only on the island. These ', ' include five plant ', ', 85% of the over 900 ', ' species, around 200 species of ', ', and such emblematic species as the ', ', six species of ', ' and the ', "". The high degree of endemism is due to Madagascar's long isolation following its separation from the African and Indian landmasses in the "", ', 150–160 and 84–91\xa0million years ago, respectively. However, few plant lineages remain from the ancient ', ' flora; most ', ' plant groups immigrated via across-ocean ', ' well after continental break-up.\n', 'After its continental separation, Madagascar probably experienced a dry period, and ', ' expanded only later in the ']"
Exosome complex,"['\n', 'The ', ' (or ', ', often just called the ', ') is a multi-', ' intracellular ', ' capable of degrading various types of ', ' (ribonucleic acid) molecules. Exosome complexes are found in both ', ' cells and ', ', while in ', ' a simpler complex called the ', ' carries out similar functions.\n', 'The core of the exosome contains a six-membered ring structure to which other proteins are attached. In eukaryotic cells, the exosome complex is present in the ', ', ', ', and especially the ', ', although different proteins interact with the exosome complex in these compartments regulating the RNA degradation activity of the complex to ', ' specific to these cell compartments. Substrates of the exosome include ', ', ', ', and many species of ', '. The exosome has an exoribonucleolytic function, meaning it degrades RNA starting at one end (the ', ' in this case), and in eukaryotes also an endoribonucleolytic function, meaning it cleaves RNA at sites within the molecule.\n']"
Genetics,"['\n', '\n', ' is a branch of ', ' concerned with the study of ', ', ', ', and ', ' in ', '.', '\n', 'Though heredity had been observed for millennia, ', ', ', ' scientist and ', ' friar working in the 19th century in ', ', was the first to study genetics scientifically. Mendel studied ""trait inheritance"", patterns in the way traits are handed down from parents to offspring over time. He observed that organisms (pea plants) inherit traits by way of discrete ""units of inheritance"". This term, still used today, is a somewhat ambiguous definition of what is referred to as a gene.\n', ' inheritance and ', ' inheritance mechanisms of genes are still primary principles of genetics in the 21st century, but modern genetics has expanded beyond inheritance to studying the function and behavior of genes. Gene structure and function, variation, and distribution are studied within the context of the ', ', the organism (e.g. ', '), and within the context of a population. Genetics has given rise to a number of subfields, including ', ', ', ' and ', '. Organisms studied within the broad field span the domains of life (']"
Fauna of Scotland,"['\n\n', 'The ', ' is generally typical of the northwest ', ' part of the ', "", although several of the country's larger "", ' were hunted to ', ' in historic times and human activity has also led to various species of wildlife being introduced. ', ""'s diverse "", ' environments support 62 species of wild mammals, including a population of ', ', important numbers of ', ' and ', ' and the most northerly colony of ', ' in the world.', '\n', 'Many populations of ', ' birds, including the ', ' and ', ' live here, and the country has internationally significant ', ' grounds for ', ' such as the ', '.']"
DNA nanotechnology,"['\n', ' is the design and manufacture of artificial ', ' structures for technological uses. In this field, nucleic acids are used as non-biological engineering materials for ', ' rather than as the carriers of genetic information in living ', '. Researchers in the field have created static structures such as two- and three-dimensional ', ', ', ', ', ', and arbitrary shapes, and functional devices such as ', ' and ', '. The field is beginning to be used as a tool to solve ', ' problems in ', ' and ', ', including applications in ', ' and ', ' to determine structures. Potential applications in ', ' and ', ' are also being investigated.\n', 'The conceptual foundation for DNA nanotechnology was first laid out by ', ' in the early 1980s, and the field began to attract widespread interest in the mid-2000s. This use of nucleic acids is enabled by their strict ', ' rules, which cause only portions of strands with ', ' ']"
Cooperative pulling paradigm,"['\n', 'The ', ' is an ', ' in which two or more animals pull ', ' toward themselves via an apparatus that they cannot successfully operate alone. Researchers (', ', ', ', and ', ') use cooperative pulling experiments to try to understand how ', ' works and how and when it may have ']"
DNA,"['\n', '\n', ' (', ';', ' ', ') is a ', ' composed of two ', ' chains that coil around each other to form a ', ' carrying ', ' instructions for the development, functioning, growth and ', ' of all known ', ' and many ', '. DNA and ', ' (RNA) are ', '. Alongside ', ', ', ' and complex carbohydrates (', '), nucleic acids are one of the four major types of ', ' that are essential for all known forms of ']"
Cretaceous–Paleogene extinction event,"['\n', 'The ', ' (', ') ', ' (also known as the ', ' ', ' ', ')', ' was a sudden ', ' of three-quarters of the ', ' and ', ' ', ' on ', ',', ' approximately 66\xa0million years ago.', ' With the exception of some ', ' species such as ', ' and ', ', no ', ' weighing more than 25 kilograms (55 pounds) survived.', ' It marked the end of the ']"
Ediacaran biota,"['\n', 'The ', ' (', '; formerly ', ') ', ' is a ', ' period classification that consists of all life forms that were present on Earth during the ', ' Period (c. 635–538.8 ', '). These were composed of enigmatic tubular and frond-shaped, mostly ', ', organisms.', ' ', ' of these organisms have been found worldwide, and represent the earliest known complex ', '.', '\n', 'The Ediacaran biota may have undergone ', ' in a proposed event called the ', ', ', '.', ' This was after the Earth had thawed from the ', "" period's "", '. This biota largely disappeared with the rapid increase in ']"
Bone Wars,"['\n', 'The ', ', also known as the ', ',', ' was a period of intense and ruthlessly competitive ', ' and discovery during the ', ' of American history, marked by a heated rivalry between ', ' (of the ', ' of ', ') and ', ' (of the ', ' at ', '). Each of the two ', "" used underhanded methods to try to outdo the other in the field, resorting to bribery, theft, and the destruction of bones. Each scientist also sought to ruin his rival's reputation and cut off his funding, using attacks in scientific publications.\n"", 'Their search for ', ' led them west to rich ', ' in ', ', ', ', and ', '. From 1877 to 1892, both paleontologists used their wealth and influence to finance their own expeditions and to procure services and dinosaur bones from fossil hunters. By the end of the Bone Wars, both men had exhausted their funds in the pursuit of paleontological supremacy.\n', 'Cope and Marsh were financially and socially ruined by their attempts to outcompete and disgrace each other, but they made important contributions to science and the field of paleontology and provided substantial material for further work—both scientists left behind many unopened boxes of fossils after their deaths. The efforts of the two men led to more than 136 new species of ']"
John Michael Wright,"[' \n\n', ' (May 1617 – July 1694)', ' was an English or Scottish (he signed as both at times) ', ' in the ', ' style.', ' Wright trained in Edinburgh under the ', ' painter ', ', and acquired a considerable reputation as an artist and scholar during a long sojourn in Rome. There he was admitted to the ', ', and was associated with some of the leading artists of his generation. He was engaged by ', ', the governor of the ', ', to acquire artworks in ', ""'s England in 1655. He took up permanent residence in England from 1656, and served as "", ' before and after the ', '. A convert to ', ', he was a favourite of the restored ', ' court, a client of both ', ' and ', ', and was a witness to many of the political manoeuvrings of the era. In the final years of the Stuart monarchy he returned to Rome as part of an embassy to ']"
Evolution,"['\n', '\n\n', ' is change in the ', ' ', ' of biological ', ' over successive generations.', ' These characteristics are the ', ' of ', ' that are passed on from parent to offspring during ', '. Different characteristics tend to exist within any given population as a result of ', ', ', ' and other sources of ', '.', ' Evolution occurs when evolutionary processes such as ', ' (including ', ') and ', ' act on this variation, resulting in certain characteristics becoming more common or rare within a population.', ' The ', ' that determine whether a characteristic should be common or rare within a population constantly change, resulting in the change in heritable characteristics arising over successive generations. It is this process of evolution that has given rise to ', ' at every level of ', ', including the levels of ']"
George Vincent (painter),"['\n\n', ' (baptised 27 June 1796\xa0– ', '1832) was an English ', ' who produced ', ', ', ' and ', '. He is considered by ', ' to be one of the most talented of the ', ', a group of artists connected by location and personal and professional relationships, who were mainly inspired by the ', "" countryside. Vincent's work was founded on the "", ' as well as the style of ', "", also of the Norwich School. The school's reputation outside "", ' in the 1820s was based largely upon the works of Vincent and his friend ']"
Rudolf Wolters,"[' (3 August 1903\xa0– 7 January 1983) was a German architect and government official, known for his longtime association with fellow architect and ', ' official ', '.  A friend and subordinate of Speer, Wolters received the many papers which were smuggled out of ', "" for Speer while he was imprisoned there, and kept them for him until Speer was released in 1966.  After Speer's release, the friendship slowly collapsed, Wolters objecting strongly to Speer's blaming of "", ' and other Nazis for ', "" and World War II, and they saw nothing of each other in the decade before Speer's death in 1981.\n"", 'Wolters, who was born to a Catholic middle-class family in the northern German town of ', ', obtained his degree and doctorate in architecture from the ', ', forging a close friendship with Speer while a student.  After receiving his doctorate, he had difficulty finding employment prior to the Nazi rise to power.  From 1933 to 1937, he worked for the ', '.  In 1937, Speer hired him as a department head, and Wolters soon took major responsibility for ', ""'s plan for the large scale "", '.  When Speer became Minister of Armaments and War Production in 1942, Wolters moved to his department, remaining his close associate.\n', ""After Speer's indictment and imprisonment for war crimes, Wolters stood by him.  In addition to receiving and organizing Speer's clandestine notes from Spandau, which later served as the basis of his best-selling books of memoirs, Wolters quietly raised money for Speer.  These funds were used to support Speer's family and for other purposes, according to directions which Wolters received from his former superior.  Following Speer's release in 1966, their friendship gradually deteriorated, until the two men became so embittered that Wolters allowed papers demonstrating Speer's knowledge of the persecution of the Jews to become public in 1980.\n"", 'Wolters was involved in the reconstruction of ', ' following World War II, rebuilding his hometown of Coesfeld among many other projects.  Wolters wrote several architectural books during the war, as well as a biography of Speer.\n', 'Wolters was born into a Catholic family in Coesfeld, Germany on 3 August 1903, the son of an architect who had married the daughter of a master carpenter in the shipbuilding trade.  In his privately published memoirs, ', ', Wolters described his father as ""a serious, conscientious and diligent man, always concerned about the future"".', '  Wolters regarded his mother as ""a highly practical woman, full of zest for life, who in hard times thought nothing of serving a delicious roast without letting on it was ', '"".', '  Wolters passed a generally happy childhood, punctuated by the chaos of ', ', and by a childhood illness that resulted in his being taught at home for a year by two priests.']"
Bacteria,"['\n\n\n\n\n', '\n', ' (', '; singular ', ', common noun ', ') are ubiquitous,  mostly free-living organisms often consisting of one ', '. They constitute a large ', ' of ', ' ', '. Typically a few ', ' in length, bacteria were among the first life forms to appear on ', ', and are present in most of its ', '. Bacteria inhabit soil, water, ', ', ', ', and the ', ' of ', '. Bacteria are vital in many stages of the ', ' by recycling nutrients such as the ', ' from the ', '. The nutrient cycle includes the ', ' of ']"
Nigel Williams (conservator),"['\n\n', ' (15 July 1944 – 21 April 1992) was an English ', ' and expert on the restoration of ceramics and glass. From 1961 until his death he worked at the ', ', where he became the Chief Conservator of Ceramics and Glass in 1983. There his work included the successful restorations of the ', ' and the ']"
Archaea,"['\n\n\n', ' (', ' ', '; singular ', ' ', ') constitute a ', ' of ', '. These ', ' lack ', ' and are therefore ', '. Archaea were initially ', ' as ', ', receiving the name ', ' (in the Archaebacteria ', '), but this term has fallen out of use.', '\n', 'Archaeal cells have unique properties separating them from the other ', ', ', ' and ', '. Archaea are further divided into multiple recognized ', '. Classification is difficult because most have not been ']"
Mortimer Wheeler,"['\n', ' ', ' ', ' ', ' ', ' ', ' (10 September 1890\xa0– 22 July 1976) was a British ', ' and officer in the ', '. Over the course of his career, he served as Director of both the ', ' and ', ', Director-General of the ', ', and the founder and Honorary Director of the ', ' in ', ', in addition to writing twenty-four books on archaeological subjects.\n', 'Born in ', ' to a middle-class family, Wheeler was raised largely in ', ' before moving to London in his teenage years. After studying ', ' at ', ' (UCL), he began working professionally in archaeology, specialising in the ', ' period. During ', ' he volunteered for service in the ']"
Tom Thomson,"['\n\n\n', ' (August 5, 1877\xa0– July 8, 1917) was a Canadian artist active in the early 20th century. During his short career, he produced roughly 400 ', ' on small ', ' and approximately 50 larger works on canvas. His works consist almost entirely of ', ', depicting trees, skies, lakes, and rivers. He used broad brush strokes and a liberal application of paint to capture the beauty and colour of the ', "" landscape. Thomson's accidental death by drowning at 39 shortly before the founding of the "", ' is seen as a tragedy for ']"
Constance Stokes,"['\n\n\n', ' (née ', ', 22 February 1906 – 14 July 1991) was a ', ' Australian painter who worked in ', '. She trained at the ', "" until 1929, winning a scholarship to continue her study at London's "", '. Although Stokes painted few works in the 1930s, her paintings and drawings were exhibited from the 1940s onwards. She was one of only two women, and two Victorians, included in a major exhibition of twelve Australian artists that travelled to Canada, the United Kingdom and Italy in the early 1950s.\n', 'Influenced by ', "", Stokes was part of the Melbourne Contemporary Artists, a group Bell established in 1940. Her works continued to be well-regarded for many years after the group's formation, in contrast to those by many of her Victorian modernist colleagues, with favourable reviews from critics such as Sir "", ' in the United Kingdom and ', ' in Australia.\n', ""Her husband's early death in 1962 forced Stokes to return to painting as a career, resulting in a successful one-woman show in 1964, her first in thirty years. She continued to paint and exhibit through the 1970s and 1980s, and was the subject of a retrospective exhibition that toured Victorian regional galleries including "", ' and ', ' in 1985. She died in 1991 and is little-known in comparison to some other women artists including ', ' and ', ', but her fortunes were revived somewhat as a central figure in ', ""' 2009 book "", '. Her art is represented in most major Australian galleries, including the ', ' and the ', '; the ', ' is the only significant Australian collecting institution not to hold one of her works.\n']"
John Thirtle,"['\n\n', ' (baptised 22 June 1777\xa0– 30 September 1839) was an English ', ' artist and ', '. Born in ', ', where he lived for most of his life, he was a leading member of the ']"
Martin Rundkvist,"['\n\n', ' (born 4 April 1972) is a Swedish ', ' and ', ' at the ', ' in Poland. His research focuses on the ', ', ', ', and ', ' of ', ', including significant excavations in the province of ']"
Jacob van Ruisdael,"['\n', '\n', ' (', ' ', '; ', '\xa01629 – 10\xa0March 1682) was a Dutch painter, ', ', and ', '. He is generally considered the pre-eminent ', ' of the ', ', a period of great wealth and cultural achievement when ', ' became highly popular.\n', 'Prolific and versatile, Ruisdael depicted a wide variety of landscape subjects. From 1646 he painted Dutch countryside scenes of remarkable quality for a young man. After a trip to ', ' in 1650, his landscapes took on a more heroic character. In his late work, conducted when he lived and worked in ', ', he added city panoramas and seascapes to his regular repertoire. In these, the sky often took up two-thirds of the canvas. In total he produced more than 150 ', ' views featuring waterfalls.\n', ""Ruisdael's only registered pupil was "", "", one of several artists who painted figures in his landscapes. Hobbema's work has at times been confused with Ruisdael's. Ruisdael always spelt his name thus: Ruisdael, not Ruysdael.\n"", ""Ruisdael's work was in demand in the "", ' during his lifetime. Today it is spread across private and institutional collections around the world; the ', ' in London, the ', ' in Amsterdam, and the ']"
Edmund Sharpe,"['\n\n', ' (31 October 1809\xa0– 8 May 1877) was an English architect, ', ', railway engineer, and ', ' reformer.  Born in ', ', Cheshire, he was educated first by his parents and then at schools locally and in ', ', ', ' and ', '.  Following his graduation from ', ' he was awarded a travelling scholarship, enabling him to study architecture in Germany and southern France. In 1835 he established an architectural practice in ', ', initially working on his own.  In 1845 he entered into partnership with ', "", one of his pupils.  Sharpe's main focus was on churches, and he was a pioneer in the use of "", ' as a structural material in church building, designing what were known as ""pot"" churches, the first of which was ']"
Minnie Pwerle,"['\n\n\n', ' (also ', ' or ', ';', ' born between 1910 and 1922 – 18 March 2006) was an Australian ', ' artist. She came from ', ' (', ' in local language), a cattle station in the ', ' of ', ' 300 kilometres (190\xa0mi) northeast of ']"
Bronwyn Oliver,"['\n\n\n', ' (née ', ', 22 February 1959\xa0– 10 July 2006) was an Australian sculptor whose work primarily consisted of metalwork. Oliver was raised in rural ', "". She trained at Sydney's "", "" and London's "", '. She had early success, winning a New South Wales Travelling Art Scholarship in 1981 and the Moet & Chandon Australian Art Fellowship in 1984. Oliver settled in Sydney, where she practised and taught until her death in 2006.\n', ""Oliver's sculptures are admired for their tactile nature, aesthetics, and technical skills demonstrated in their production. In her later career, most of her pieces were both public and private commissions. Her major works include "", ', a 16.5-metre-high sculpture in the Sydney Hilton, ', ' and ', ', in the ', ', and ', "" in Brisbane's "", '. Recognition of her work included selection as a finalist in the inaugural ', ' in 2000, inclusion in the ', ""'s 2002 National Sculpture Prize exhibition, and being shortlisted for the 2006 "", '. Her works are held in major Australian collections, including the National Gallery of Australia, the ', ' and the ']"
Hilda Rix Nicholas,"['\n\n\n', ' (née ', ', later ', ', 1 September 1884\xa0– 3 August 1961)', ' was an Australian artist. Born in the ', ' city of ', ', she studied under a leading ', ', ', ', at the ', ' from 1902 to 1905 and was an early member of the ', '. Following the death of her father in 1907, Rix, her only sibling Elsie and her mother travelled to Europe where she undertook further study, first in London and then Paris. Her teachers during the period included ', ', ', ' and ']"
Wintjiya Napaltjarri,"['\n\n\n', ' (born between ca. 1923 to 1934) (also spelt ', ', ', ' or ', '), and also known as ', ',', ' is a ', '-speaking ', ' artist from ', ""'s "", ' region. She is the sister of artist ', '; both were wives of Toba Tjakamarra, with whom Wintjiya had five children.\n', ""Wintjiya's involvement in "", ' began in 1994 at ', ', when she participated in a group painting project and in the creation of ', ' fabrics. She has also been a printmaker, using ', ' etching. Her paintings typically use an ', ' that represents the eggs of the flying ant (', ') and ', ' (', '). Her palette generally involves strong red or black against a white background.\n']"
Daisy Jugadai Napaltjarri,"['\n\n\n', ' (c. 1955–2008) was a ', '-speaking ', "" artist from Australia's "", ' region, and sister of artist ', '. Daisy Jugadai lived and painted at ', '. There she played a significant role in the establishment of ', ', where many artists of the region have worked.\n', 'Influenced by the ', "", Jugadai's paintings reflect her "", "", the complex spiritual knowledge and relationships between her and her landscape. The paintings also reflect fine observation of the structures of the vegetation and environment. Jugadai's works were selected for exhibition at the "", ' five times between 1993 and 2001, and she was a section winner in 2000. Her paintings are held in major collections including the ', ', ', ' and the ']"
Makinti Napanangka,"['\n\n', ' (', ' 1930 – 9 January 2011', ') was a ', '-speaking ', "" artist from Australia's "", ' region. She was referred to posthumously as Kumentje.', ' The term Kumentje was used instead of her personal name as it is customary among many indigenous communities not to refer to deceased people by their original given names for some time after their deaths.', ' She lived in the communities of ', ', ', ', and later at ', ', about 50 kilometres (31\xa0mi) north-east of the ', ' region where she was born, on the border of the ', ' and ']"
Robert Peake the Elder,"['\n\n', ' (c. 1551–1619) was an English painter active in the later part of ', ' reign and for most of the reign of ', '. In 1604, he was appointed picture maker to the heir to the throne, ', '; and in 1607, ', ' to King James I – a post he shared with ', '.', ' Peake is often called ""the elder"", to distinguish him from his son, the painter and ', ' ', ' (c. 1580–1639) and from his grandson, ', ' (c. 1605–67), who followed his father into the family print-selling business.', '\n', 'Peake was the only English-born painter of a group of four artists whose workshops were closely connected. The others were De Critz, ', ', and the ', ' ', '. Between 1590 and about 1625, they specialised in brilliantly coloured, full-length ""costume pieces"" that are unique to England at this time.', ' It is not always possible to attribute authorship between Peake, De Critz, Gheeraerts and their assistants with certainty.', '\n', 'Peake was born to a ', ' family in about 1551.', ' He began his training on 30 April 1565 under Laurence Woodham,']"
I. M. Pei,"['\n\n', ' ', ' (', ' ', ';', ' ', ': ', '; April 26, 1917 – May 16, 2019) was a ', ' architect. Raised in Shanghai, Pei drew inspiration at an early age from the garden villas at ', ', the traditional retreat of the ', ' to which his family belonged. In 1935, he moved to the United States and enrolled in the ', ""'s architecture school, but he quickly transferred to the "", '. He was unhappy with the focus at both schools on ', ', and spent his free time researching emerging architects, especially ', '. After graduating, he joined the ', ' (GSD) and became a friend of the ', ' architects ', ' and ', '. In 1948, Pei was recruited by New York City real estate magnate ', ', for whom he worked for seven years before establishing an independent design firm in 1955, I. M. Pei & Associates. In 1966 that became I. M. Pei & Partners, and in 1989 became ', "". Pei retired from full-time practice in 1990. In his retirement, he worked as an architectural consultant primarily from his sons' architectural firm ""]"
Margaret Murray,"['\n\n\n', ' (13 July 1863\xa0– 13 November 1963) was an ', ' ', ', ', ', ', ', ', ', and ', '. The first woman to be appointed as a lecturer in archaeology in the United Kingdom, she worked at ', ' (UCL) from 1898 to 1935. She served as President of the ', ' from 1953 to 1955, and published widely over the course of her career.\n', 'Born to a wealthy middle-class English family in ', ', ', ', Murray divided her youth between India, Britain, and Germany, training as both a nurse and a social worker. Moving to London, in 1894 she began studying Egyptology at UCL, developing a friendship with department head ', "", who encouraged her early academic publications and appointed her Junior Professor in 1898. In 1902–03 she took part in Petrie's "", ' at ', ', there discovering the ', ' temple and the following season investigated the ', ' cemetery, both of which established her reputation in Egyptology. Supplementing her UCL wage by giving public classes and lectures at the ', ' and ', ', it was at the latter in 1908 that she led the unwrapping of Khnum-nakht, one of the ', ' recovered from the ']"
Benjamin Mountfort,"['\n\n', "" (13 March 1825 – 15 March 1898) was an English emigrant to New Zealand, where he became one of the country's most prominent 19th-century architects. He was instrumental in shaping the city of "", ""'s unique architectural identity and culture, and was appointed the first official Provincial Architect of the developing province of "", '. Heavily influenced by the ', ' philosophy behind early Victorian architecture, he is credited with importing the ', ' style to New Zealand. His Gothic designs constructed in both wood and stone in the province are considered unique to New Zealand. Today, he is considered the founding architect of the province of Canterbury.\n', 'Mountfort was born in ', ', an industrial town in the ', ' of England. He was the son of perfume manufacturer and jeweller Thomas Mountfort and his wife Susanna (née Woolfield). As a young adult he moved to London, where he was an early pupil of ', ' (from 1841–46). He also studied architecture under the Anglo-Catholic', ' architect ', ', whose medieval ', ' style of design was to have a lifelong influence on Mountfort.', ' After completion of his training in 1848, Mountfort practised architecture in London. He married Emily Elizabeth Newman on 20 August 1850, and 18 days later the couple emigrated to New Zealand.', ' They were some of the first settlers to the province of Canterbury, arriving on one of the famed ', ', the ', ' on 16 December 1850.', ' These first settlers, known as ""The Pilgrims"",', ' have their names engraved on marble plaques in ', ', Christchurch, in front of the cathedral that Mountfort helped to design.', '\n']"
